title,authors,published,summary,cleaned_summary,word_list
"Integrating AI Planning with Natural Language Processing: A Combination
  of Explicit and Tacit Knowledge","Kebing Jin, Hankz Hankui Zhuo",2022-02-15T02:19:09Z,"  Natural language processing (NLP) aims at investigating the interactions
between agents and humans, processing and analyzing large amounts of natural
language data. Large-scale language models play an important role in current
natural language processing. However, the challenges of explainability and
complexity come along with the developments of language models. One way is to
introduce logical relations and rules into natural language processing models,
such as making use of Automated Planning. Automated planning (AI planning)
focuses on building symbolic domain models and synthesizing plans to transit
initial states to goals based on domain models. Recently, there have been
plenty of works related to these two fields, which have the abilities to
generate explicit knowledge, e.g., preconditions and effects of action models,
and learn from tacit knowledge, e.g., neural models, respectively. Integrating
AI planning and natural language processing effectively improves the
communication between human and intelligent agents. This paper outlines the
commons and relations between AI planning and natural language processing,
argues that each of them can effectively impact on the other one by five areas:
(1) planning-based text understanding, (2) planning-based natural language
processing, (3) planning-based explainability, (4) text-based human-robot
interaction, and (5) applications. We also explore some potential future issues
between AI planning and natural language processing. To the best of our
knowledge, this survey is the first work that addresses the deep connections
between AI planning and Natural language processing.
","['natural', 'language', 'processing', '(', 'nlp', ')', 'aims', 'investigating', 'interactions', 'agents', 'humans', ',', 'processing', 'analyzing', 'large', 'amounts', 'natural', 'language', 'data', '.', 'large-scale', 'language', 'models', 'play', 'important', 'role', 'current', 'natural', 'language', 'processing', '.', 'however', ',', 'challenges', 'explainability', 'complexity', 'come', 'along', 'developments', 'language', 'models', '.', 'one', 'way', 'introduce', 'logical', 'relations', 'rules', 'natural', 'language', 'processing', 'models', ',', 'making', 'use', 'automated', 'planning', '.', 'automated', 'planning', '(', 'ai', 'planning', ')', 'focuses', 'building', 'symbolic', 'domain', 'models', 'synthesizing', 'plans', 'transit', 'initial', 'states', 'goals', 'based', 'domain', 'models', '.', 'recently', ',', 'plenty', 'works', 'related', 'two', 'fields', ',', 'abilities', 'generate', 'explicit', 'knowledge', ',', 'e.g.', ',', 'preconditions', 'effects', 'action', 'models', ',', 'learn', 'tacit', 'knowledge', ',', 'e.g.', ',', 'neural', 'models', ',', 'respectively', '.', 'integrating', 'ai', 'planning', 'natural', 'language', 'processing', 'effectively', 'improves', 'communication', 'human', 'intelligent', 'agents', '.', 'paper', 'outlines', 'commons', 'relations', 'ai', 'planning', 'natural', 'language', 'processing', ',', 'argues', 'effectively', 'impact', 'one', 'five', 'areas', ':', '(', '1', ')', 'planning-based', 'text', 'understanding', ',', '(', '2', ')', 'planning-based', 'natural', 'language', 'processing', ',', '(', '3', ')', 'planning-based', 'explainability', ',', '(', '4', ')', 'text-based', 'human-robot', 'interaction', ',', '(', '5', ')', 'applications', '.', 'also', 'explore', 'potential', 'future', 'issues', 'ai', 'planning', 'natural', 'language', 'processing', '.', 'best', 'knowledge', ',', 'survey', 'first', 'work', 'addresses', 'deep', 'connections', 'ai', 'planning', 'natural', 'language', 'processing', '.']","natural, language, processing, (, nlp, ), aims, investigating, interactions, agents, humans, ,, processing, analyzing, large, amounts, natural, language, data, ., large-scale, language, models, play, important, role, current, natural, language, processing, ., however, ,, challenges, explainability, complexity, come, along, developments, language, models, ., one, way, introduce, logical, relations, rules, natural, language, processing, models, ,, making, use, automated, planning, ., automated, planning, (, ai, planning, ), focuses, building, symbolic, domain, models, synthesizing, plans, transit, initial, states, goals, based, domain, models, ., recently, ,, plenty, works, related, two, fields, ,, abilities, generate, explicit, knowledge, ,, e.g., ,, preconditions, effects, action, models, ,, learn, tacit, knowledge, ,, e.g., ,, neural, models, ,, respectively, ., integrating, ai, planning, natural, language, processing, effectively, improves, communication, human, intelligent, agents, ., paper, outlines, commons, relations, ai, planning, natural, language, processing, ,, argues, effectively, impact, one, five, areas, :, (, 1, ), planning-based, text, understanding, ,, (, 2, ), planning-based, natural, language, processing, ,, (, 3, ), planning-based, explainability, ,, (, 4, ), text-based, human-robot, interaction, ,, (, 5, ), applications, ., also, explore, potential, future, issues, ai, planning, natural, language, processing, ., best, knowledge, ,, survey, first, work, addresses, deep, connections, ai, planning, natural, language, processing, ."
Towards the Study of Morphological Processing of the Tangkhul Language,"Mirinso Shadang, Navanath Saharia, Thoudam Doren Singh",2020-06-29T17:24:09Z,"  There is no or little work on natural language processing of Tangkhul
language. The current work is a humble beginning of morphological processing of
this language using an unsupervised approach. We use a small corpus collected
from different sources of text books, short stories and articles of other
topics. Based on the experiments carried out, the morpheme identification task
using morphessor gives reasonable and interesting output despite using a small
corpus.
","['little', 'work', 'natural', 'language', 'processing', 'tangkhul', 'language', '.', 'current', 'work', 'humble', 'beginning', 'morphological', 'processing', 'language', 'using', 'unsupervised', 'approach', '.', 'use', 'small', 'corpus', 'collected', 'different', 'sources', 'text', 'books', ',', 'short', 'stories', 'articles', 'topics', '.', 'based', 'experiments', 'carried', ',', 'morpheme', 'identification', 'task', 'using', 'morphessor', 'gives', 'reasonable', 'interesting', 'output', 'despite', 'using', 'small', 'corpus', '.']","little, work, natural, language, processing, tangkhul, language, ., current, work, humble, beginning, morphological, processing, language, using, unsupervised, approach, ., use, small, corpus, collected, different, sources, text, books, ,, short, stories, articles, topics, ., based, experiments, carried, ,, morpheme, identification, task, using, morphessor, gives, reasonable, interesting, output, despite, using, small, corpus, ."
Deploying Technology to Save Endangered Languages,"Hilaria Cruz, Joseph Waring",2019-08-23T18:31:35Z,"  Computer scientists working on natural language processing, native speakers
of endangered languages, and field linguists to discuss ways to harness
Automatic Speech Recognition, especially neural networks, to automate
annotation, speech tagging, and text parsing on endangered languages.
","['computer', 'scientists', 'working', 'natural', 'language', 'processing', ',', 'native', 'speakers', 'endangered', 'languages', ',', 'field', 'linguists', 'discuss', 'ways', 'harness', 'automatic', 'speech', 'recognition', ',', 'especially', 'neural', 'networks', ',', 'automate', 'annotation', ',', 'speech', 'tagging', ',', 'text', 'parsing', 'endangered', 'languages', '.']","computer, scientists, working, natural, language, processing, ,, native, speakers, endangered, languages, ,, field, linguists, discuss, ways, harness, automatic, speech, recognition, ,, especially, neural, networks, ,, automate, annotation, ,, speech, tagging, ,, text, parsing, endangered, languages, ."
A Precis of Language Models are not Models of Language,Csaba Veres,2022-05-16T12:50:58Z,"  Natural Language Processing is one of the leading application areas in the
current resurgence of Artificial Intelligence, spearheaded by Artificial Neural
Networks. We show that despite their many successes at performing linguistic
tasks, Large Neural Language Models are ill-suited as comprehensive models of
natural language. The wider implication is that, in spite of the often
overbearing optimism about AI, modern neural models do not represent a
revolution in our understanding of cognition.
","['natural', 'language', 'processing', 'one', 'leading', 'application', 'areas', 'current', 'resurgence', 'artificial', 'intelligence', ',', 'spearheaded', 'artificial', 'neural', 'networks', '.', 'show', 'despite', 'many', 'successes', 'performing', 'linguistic', 'tasks', ',', 'large', 'neural', 'language', 'models', 'ill-suited', 'comprehensive', 'models', 'natural', 'language', '.', 'wider', 'implication', ',', 'spite', 'often', 'overbearing', 'optimism', 'ai', ',', 'modern', 'neural', 'models', 'represent', 'revolution', 'understanding', 'cognition', '.']","natural, language, processing, one, leading, application, areas, current, resurgence, artificial, intelligence, ,, spearheaded, artificial, neural, networks, ., show, despite, many, successes, performing, linguistic, tasks, ,, large, neural, language, models, ill-suited, comprehensive, models, natural, language, ., wider, implication, ,, spite, often, overbearing, optimism, ai, ,, modern, neural, models, represent, revolution, understanding, cognition, ."
Multilingual Text Classification for Dravidian Languages,"Xiaotian Lin, Nankai Lin, Kanoksak Wattanachote, Shengyi Jiang, Lianxi Wang",2021-12-03T04:26:49Z,"  As the fourth largest language family in the world, the Dravidian languages
have become a research hotspot in natural language processing (NLP). Although
the Dravidian languages contain a large number of languages, there are
relatively few public available resources. Besides, text classification task,
as a basic task of natural language processing, how to combine it to multiple
languages in the Dravidian languages, is still a major difficulty in Dravidian
Natural Language Processing. Hence, to address these problems, we proposed a
multilingual text classification framework for the Dravidian languages. On the
one hand, the framework used the LaBSE pre-trained model as the base model.
Aiming at the problem of text information bias in multi-task learning, we
propose to use the MLM strategy to select language-specific words, and used
adversarial training to perturb them. On the other hand, in view of the problem
that the model cannot well recognize and utilize the correlation among
languages, we further proposed a language-specific representation module to
enrich semantic information for the model. The experimental results
demonstrated that the framework we proposed has a significant performance in
multilingual text classification tasks with each strategy achieving certain
improvements.
","['fourth', 'largest', 'language', 'family', 'world', ',', 'dravidian', 'languages', 'become', 'research', 'hotspot', 'natural', 'language', 'processing', '(', 'nlp', ')', '.', 'although', 'dravidian', 'languages', 'contain', 'large', 'number', 'languages', ',', 'relatively', 'public', 'available', 'resources', '.', 'besides', ',', 'text', 'classification', 'task', ',', 'basic', 'task', 'natural', 'language', 'processing', ',', 'combine', 'multiple', 'languages', 'dravidian', 'languages', ',', 'still', 'major', 'difficulty', 'dravidian', 'natural', 'language', 'processing', '.', 'hence', ',', 'address', 'problems', ',', 'proposed', 'multilingual', 'text', 'classification', 'framework', 'dravidian', 'languages', '.', 'one', 'hand', ',', 'framework', 'used', 'labse', 'pre-trained', 'model', 'base', 'model', '.', 'aiming', 'problem', 'text', 'information', 'bias', 'multi-task', 'learning', ',', 'propose', 'use', 'mlm', 'strategy', 'select', 'language-specific', 'words', ',', 'used', 'adversarial', 'training', 'perturb', '.', 'hand', ',', 'view', 'problem', 'model', 'well', 'recognize', 'utilize', 'correlation', 'among', 'languages', ',', 'proposed', 'language-specific', 'representation', 'module', 'enrich', 'semantic', 'information', 'model', '.', 'experimental', 'results', 'demonstrated', 'framework', 'proposed', 'significant', 'performance', 'multilingual', 'text', 'classification', 'tasks', 'strategy', 'achieving', 'certain', 'improvements', '.']","fourth, largest, language, family, world, ,, dravidian, languages, become, research, hotspot, natural, language, processing, (, nlp, ), ., although, dravidian, languages, contain, large, number, languages, ,, relatively, public, available, resources, ., besides, ,, text, classification, task, ,, basic, task, natural, language, processing, ,, combine, multiple, languages, dravidian, languages, ,, still, major, difficulty, dravidian, natural, language, processing, ., hence, ,, address, problems, ,, proposed, multilingual, text, classification, framework, dravidian, languages, ., one, hand, ,, framework, used, labse, pre-trained, model, base, model, ., aiming, problem, text, information, bias, multi-task, learning, ,, propose, use, mlm, strategy, select, language-specific, words, ,, used, adversarial, training, perturb, ., hand, ,, view, problem, model, well, recognize, utilize, correlation, among, languages, ,, proposed, language-specific, representation, module, enrich, semantic, information, model, ., experimental, results, demonstrated, framework, proposed, significant, performance, multilingual, text, classification, tasks, strategy, achieving, certain, improvements, ."
Self-move and Other-move: Quantum Categorical Foundations of Japanese,Ryder Dale Walton,2022-10-10T06:26:59Z,"  The purpose of this work is to contribute toward the larger goal of creating
a Quantum Natural Language Processing (QNLP) translator program. This work
contributes original diagrammatic representations of the Japanese language
based on prior work that accomplished on the English language based on category
theory. The germane differences between the English and Japanese languages are
emphasized to help address English language bias in the current body of
research. Additionally, topological principles of these diagrams and many
potential avenues for further research are proposed. Why is this endeavor
important? Hundreds of languages have developed over the course of millennia
coinciding with the evolution of human interaction across time and geographic
location. These languages are foundational to human survival, experience,
flourishing, and living the good life. They are also, however, the strongest
barrier between people groups. Over the last several decades, advancements in
Natural Language Processing (NLP) have made it easier to bridge the gap between
individuals who do not share a common language or culture. Tools like Google
Translate and DeepL make it easier than ever before to share our experiences
with people globally. Nevertheless, these tools are still inadequate as they
fail to convey our ideas across the language barrier fluently, leaving people
feeling anxious and embarrassed. This is particularly true of languages born
out of substantially different cultures, such as English and Japanese. Quantum
computers offer the best chance to achieve translation fluency in that they are
better suited to simulating the natural world and natural phenomenon such as
natural speech.
  Keywords: category theory, DisCoCat, DisCoCirc, Japanese grammar, English
grammar, translation, topology, Quantum Natural Language Processing, Natural
Language Processing
","['purpose', 'work', 'contribute', 'toward', 'larger', 'goal', 'creating', 'quantum', 'natural', 'language', 'processing', '(', 'qnlp', ')', 'translator', 'program', '.', 'work', 'contributes', 'original', 'diagrammatic', 'representations', 'japanese', 'language', 'based', 'prior', 'work', 'accomplished', 'english', 'language', 'based', 'category', 'theory', '.', 'germane', 'differences', 'english', 'japanese', 'languages', 'emphasized', 'help', 'address', 'english', 'language', 'bias', 'current', 'body', 'research', '.', 'additionally', ',', 'topological', 'principles', 'diagrams', 'many', 'potential', 'avenues', 'research', 'proposed', '.', 'endeavor', 'important', '?', 'hundreds', 'languages', 'developed', 'course', 'millennia', 'coinciding', 'evolution', 'human', 'interaction', 'across', 'time', 'geographic', 'location', '.', 'languages', 'foundational', 'human', 'survival', ',', 'experience', ',', 'flourishing', ',', 'living', 'good', 'life', '.', 'also', ',', 'however', ',', 'strongest', 'barrier', 'people', 'groups', '.', 'last', 'several', 'decades', ',', 'advancements', 'natural', 'language', 'processing', '(', 'nlp', ')', 'made', 'easier', 'bridge', 'gap', 'individuals', 'share', 'common', 'language', 'culture', '.', 'tools', 'like', 'google', 'translate', 'deepl', 'make', 'easier', 'ever', 'share', 'experiences', 'people', 'globally', '.', 'nevertheless', ',', 'tools', 'still', 'inadequate', 'fail', 'convey', 'ideas', 'across', 'language', 'barrier', 'fluently', ',', 'leaving', 'people', 'feeling', 'anxious', 'embarrassed', '.', 'particularly', 'true', 'languages', 'born', 'substantially', 'different', 'cultures', ',', 'english', 'japanese', '.', 'quantum', 'computers', 'offer', 'best', 'chance', 'achieve', 'translation', 'fluency', 'better', 'suited', 'simulating', 'natural', 'world', 'natural', 'phenomenon', 'natural', 'speech', '.', 'keywords', ':', 'category', 'theory', ',', 'discocat', ',', 'discocirc', ',', 'japanese', 'grammar', ',', 'english', 'grammar', ',', 'translation', ',', 'topology', ',', 'quantum', 'natural', 'language', 'processing', ',', 'natural', 'language', 'processing']","purpose, work, contribute, toward, larger, goal, creating, quantum, natural, language, processing, (, qnlp, ), translator, program, ., work, contributes, original, diagrammatic, representations, japanese, language, based, prior, work, accomplished, english, language, based, category, theory, ., germane, differences, english, japanese, languages, emphasized, help, address, english, language, bias, current, body, research, ., additionally, ,, topological, principles, diagrams, many, potential, avenues, research, proposed, ., endeavor, important, ?, hundreds, languages, developed, course, millennia, coinciding, evolution, human, interaction, across, time, geographic, location, ., languages, foundational, human, survival, ,, experience, ,, flourishing, ,, living, good, life, ., also, ,, however, ,, strongest, barrier, people, groups, ., last, several, decades, ,, advancements, natural, language, processing, (, nlp, ), made, easier, bridge, gap, individuals, share, common, language, culture, ., tools, like, google, translate, deepl, make, easier, ever, share, experiences, people, globally, ., nevertheless, ,, tools, still, inadequate, fail, convey, ideas, across, language, barrier, fluently, ,, leaving, people, feeling, anxious, embarrassed, ., particularly, true, languages, born, substantially, different, cultures, ,, english, japanese, ., quantum, computers, offer, best, chance, achieve, translation, fluency, better, suited, simulating, natural, world, natural, phenomenon, natural, speech, ., keywords, :, category, theory, ,, discocat, ,, discocirc, ,, japanese, grammar, ,, english, grammar, ,, translation, ,, topology, ,, quantum, natural, language, processing, ,, natural, language, processing"
PersianLLaMA: Towards Building First Persian Large Language Model,"Mohammad Amin Abbasi, Arash Ghafouri, Mahdi Firouzmandi, Hassan Naderi, Behrouz Minaei Bidgoli",2023-12-25T12:48:55Z,"  Despite the widespread use of the Persian language by millions globally,
limited efforts have been made in natural language processing for this
language. The use of large language models as effective tools in various
natural language processing tasks typically requires extensive textual data and
robust hardware resources. Consequently, the scarcity of Persian textual data
and the unavailability of powerful hardware resources have hindered the
development of large language models for Persian. This paper introduces the
first large Persian language model, named PersianLLaMA, trained on a collection
of Persian texts and datasets. This foundational model comes in two versions,
with 7 and 13 billion parameters, trained on formal and colloquial Persian
texts using two different approaches. PersianLLaMA has been evaluated for
natural language generation tasks based on the latest evaluation methods,
namely using larger language models, and for natural language understanding
tasks based on automated machine metrics. The results indicate that
PersianLLaMA significantly outperforms its competitors in both understanding
and generating Persian text. PersianLLaMA marks an important step in the
development of Persian natural language processing and can be a valuable
resource for the Persian-speaking community. This large language model can be
used for various natural language processing tasks, especially text generation
like chatbots, question-answering, machine translation, and text summarization
","['despite', 'widespread', 'use', 'persian', 'language', 'millions', 'globally', ',', 'limited', 'efforts', 'made', 'natural', 'language', 'processing', 'language', '.', 'use', 'large', 'language', 'models', 'effective', 'tools', 'various', 'natural', 'language', 'processing', 'tasks', 'typically', 'requires', 'extensive', 'textual', 'data', 'robust', 'hardware', 'resources', '.', 'consequently', ',', 'scarcity', 'persian', 'textual', 'data', 'unavailability', 'powerful', 'hardware', 'resources', 'hindered', 'development', 'large', 'language', 'models', 'persian', '.', 'paper', 'introduces', 'first', 'large', 'persian', 'language', 'model', ',', 'named', 'persianllama', ',', 'trained', 'collection', 'persian', 'texts', 'datasets', '.', 'foundational', 'model', 'comes', 'two', 'versions', ',', '7', '13', 'billion', 'parameters', ',', 'trained', 'formal', 'colloquial', 'persian', 'texts', 'using', 'two', 'different', 'approaches', '.', 'persianllama', 'evaluated', 'natural', 'language', 'generation', 'tasks', 'based', 'latest', 'evaluation', 'methods', ',', 'namely', 'using', 'larger', 'language', 'models', ',', 'natural', 'language', 'understanding', 'tasks', 'based', 'automated', 'machine', 'metrics', '.', 'results', 'indicate', 'persianllama', 'significantly', 'outperforms', 'competitors', 'understanding', 'generating', 'persian', 'text', '.', 'persianllama', 'marks', 'important', 'step', 'development', 'persian', 'natural', 'language', 'processing', 'valuable', 'resource', 'persian-speaking', 'community', '.', 'large', 'language', 'model', 'used', 'various', 'natural', 'language', 'processing', 'tasks', ',', 'especially', 'text', 'generation', 'like', 'chatbots', ',', 'question-answering', ',', 'machine', 'translation', ',', 'text', 'summarization']","despite, widespread, use, persian, language, millions, globally, ,, limited, efforts, made, natural, language, processing, language, ., use, large, language, models, effective, tools, various, natural, language, processing, tasks, typically, requires, extensive, textual, data, robust, hardware, resources, ., consequently, ,, scarcity, persian, textual, data, unavailability, powerful, hardware, resources, hindered, development, large, language, models, persian, ., paper, introduces, first, large, persian, language, model, ,, named, persianllama, ,, trained, collection, persian, texts, datasets, ., foundational, model, comes, two, versions, ,, 7, 13, billion, parameters, ,, trained, formal, colloquial, persian, texts, using, two, different, approaches, ., persianllama, evaluated, natural, language, generation, tasks, based, latest, evaluation, methods, ,, namely, using, larger, language, models, ,, natural, language, understanding, tasks, based, automated, machine, metrics, ., results, indicate, persianllama, significantly, outperforms, competitors, understanding, generating, persian, text, ., persianllama, marks, important, step, development, persian, natural, language, processing, valuable, resource, persian-speaking, community, ., large, language, model, used, various, natural, language, processing, tasks, ,, especially, text, generation, like, chatbots, ,, question-answering, ,, machine, translation, ,, text, summarization"
ANGLEr: A Next-Generation Natural Language Exploratory Framework,"Timotej Knez, Marko Bajec, Slavko Žitnik",2022-05-10T13:32:13Z,"  Natural language processing is used for solving a wide variety of problems.
Some scholars and interest groups working with language resources are not well
versed in programming, so there is a need for a good graphical framework that
allows users to quickly design and test natural language processing pipelines
without the need for programming. The existing frameworks do not satisfy all
the requirements for such a tool. We, therefore, propose a new framework that
provides a simple way for its users to build language processing pipelines. It
also allows a simple programming language agnostic way for adding new modules,
which will help the adoption by natural language processing developers and
researchers. The main parts of the proposed framework consist of (a) a
pluggable Docker-based architecture, (b) a general data model, and (c) APIs
description along with the graphical user interface. The proposed design is
being used for implementation of a new natural language processing framework,
called ANGLEr.
","['natural', 'language', 'processing', 'used', 'solving', 'wide', 'variety', 'problems', '.', 'scholars', 'interest', 'groups', 'working', 'language', 'resources', 'well', 'versed', 'programming', ',', 'need', 'good', 'graphical', 'framework', 'allows', 'users', 'quickly', 'design', 'test', 'natural', 'language', 'processing', 'pipelines', 'without', 'need', 'programming', '.', 'existing', 'frameworks', 'satisfy', 'requirements', 'tool', '.', ',', 'therefore', ',', 'propose', 'new', 'framework', 'provides', 'simple', 'way', 'users', 'build', 'language', 'processing', 'pipelines', '.', 'also', 'allows', 'simple', 'programming', 'language', 'agnostic', 'way', 'adding', 'new', 'modules', ',', 'help', 'adoption', 'natural', 'language', 'processing', 'developers', 'researchers', '.', 'main', 'parts', 'proposed', 'framework', 'consist', '(', ')', 'pluggable', 'docker-based', 'architecture', ',', '(', 'b', ')', 'general', 'data', 'model', ',', '(', 'c', ')', 'apis', 'description', 'along', 'graphical', 'user', 'interface', '.', 'proposed', 'design', 'used', 'implementation', 'new', 'natural', 'language', 'processing', 'framework', ',', 'called', 'angler', '.']","natural, language, processing, used, solving, wide, variety, problems, ., scholars, interest, groups, working, language, resources, well, versed, programming, ,, need, good, graphical, framework, allows, users, quickly, design, test, natural, language, processing, pipelines, without, need, programming, ., existing, frameworks, satisfy, requirements, tool, ., ,, therefore, ,, propose, new, framework, provides, simple, way, users, build, language, processing, pipelines, ., also, allows, simple, programming, language, agnostic, way, adding, new, modules, ,, help, adoption, natural, language, processing, developers, researchers, ., main, parts, proposed, framework, consist, (, ), pluggable, docker-based, architecture, ,, (, b, ), general, data, model, ,, (, c, ), apis, description, along, graphical, user, interface, ., proposed, design, used, implementation, new, natural, language, processing, framework, ,, called, angler, ."
"Thoth: Improved Rapid Serial Visual Presentation using Natural Language
  Processing",David Awad,2019-08-05T15:45:39Z,"  Thoth is a tool designed to combine many different types of speed reading
technology. The largest insight is using natural language parsing for more
optimal rapid serial visual presentation and more effective reading
information.
","['thoth', 'tool', 'designed', 'combine', 'many', 'different', 'types', 'speed', 'reading', 'technology', '.', 'largest', 'insight', 'using', 'natural', 'language', 'parsing', 'optimal', 'rapid', 'serial', 'visual', 'presentation', 'effective', 'reading', 'information', '.']","thoth, tool, designed, combine, many, different, types, speed, reading, technology, ., largest, insight, using, natural, language, parsing, optimal, rapid, serial, visual, presentation, effective, reading, information, ."
"A Survey of Resources and Methods for Natural Language Processing of
  Serbian Language","Ulfeta A. Marovac, Aldina R. Avdić, Nikola Lj. Milošević",2023-04-11T19:33:41Z,"  The Serbian language is a Slavic language spoken by over 12 million speakers
and well understood by over 15 million people. In the area of natural language
processing, it can be considered a low-resourced language. Also, Serbian is
considered a high-inflectional language. The combination of many word
inflections and low availability of language resources makes natural language
processing of Serbian challenging. Nevertheless, over the past three decades,
there have been a number of initiatives to develop resources and methods for
natural language processing of Serbian, ranging from developing a corpus of
free text from books and the internet, annotated corpora for classification and
named entity recognition tasks to various methods and models performing these
tasks. In this paper, we review the initiatives, resources, methods, and their
availability.
","['serbian', 'language', 'slavic', 'language', 'spoken', '12', 'million', 'speakers', 'well', 'understood', '15', 'million', 'people', '.', 'area', 'natural', 'language', 'processing', ',', 'considered', 'low-resourced', 'language', '.', 'also', ',', 'serbian', 'considered', 'high-inflectional', 'language', '.', 'combination', 'many', 'word', 'inflections', 'low', 'availability', 'language', 'resources', 'makes', 'natural', 'language', 'processing', 'serbian', 'challenging', '.', 'nevertheless', ',', 'past', 'three', 'decades', ',', 'number', 'initiatives', 'develop', 'resources', 'methods', 'natural', 'language', 'processing', 'serbian', ',', 'ranging', 'developing', 'corpus', 'free', 'text', 'books', 'internet', ',', 'annotated', 'corpora', 'classification', 'named', 'entity', 'recognition', 'tasks', 'various', 'methods', 'models', 'performing', 'tasks', '.', 'paper', ',', 'review', 'initiatives', ',', 'resources', ',', 'methods', ',', 'availability', '.']","serbian, language, slavic, language, spoken, 12, million, speakers, well, understood, 15, million, people, ., area, natural, language, processing, ,, considered, low-resourced, language, ., also, ,, serbian, considered, high-inflectional, language, ., combination, many, word, inflections, low, availability, language, resources, makes, natural, language, processing, serbian, challenging, ., nevertheless, ,, past, three, decades, ,, number, initiatives, develop, resources, methods, natural, language, processing, serbian, ,, ranging, developing, corpus, free, text, books, internet, ,, annotated, corpora, classification, named, entity, recognition, tasks, various, methods, models, performing, tasks, ., paper, ,, review, initiatives, ,, resources, ,, methods, ,, availability, ."
